url,approximate_value,number_drafted,position
/players/A/ArbuCh00.htm,2,125,TE
/players/A/ArceJJ00.htm,2,57,WR
/players/A/ArchLe20.htm,36,186,DE
/players/A/ArchDr00.htm,0,97,WR
/players/A/ArchTr20.htm,16,13,DT
/players/A/ArchMi00.htm,0,218,RB
/players/A/ArchAd20.htm,33,20,DB
/players/A/ArdxBi20.htm,54,221,G
/players/A/ArdiTo20.htm,0,153,C
/players/A/ArenJa99.htm,4,50,DB
/players/A/aririobe01.htm,3,178,K
/players/A/ArkiDa00.htm,0,110,OL
/players/A/ArmaAl00.htm,0,192,FB
/players/A/ArmoJo20.htm,10,224,DB
/players/A/ArmoJu00.htm,7,113,WR
/players/A/ArmsAr01.htm,28,17,DE
/players/A/ArmsJe00.htm,79,207,LB
/players/A/ArmsRy00.htm,2,140,RB
/players/A/ArmsTe00.htm,52,75,OT
/players/A/ArmsAn20.htm,0,201,LB
/players/A/ArmsBr00.htm,92,23,T
/players/A/ArmsCo00.htm,0,209,CB
/players/A/ArmsDo00.htm,6,116,DE
/players/A/ArmsHa20.htm,20,190,NT
/players/A/ArmsOt00.htm,53,9,RB
/players/A/ArmsTr00.htm,62,12,DE
/players/A/ArmsTy00.htm,4,79,TE
/players/A/ArndDi20.htm,9,77,DT
/players/A/ArneMa20.htm,45,32,LB
/players/A/ArneJo00.htm,32,2,HB
/players/A/ArneDa00.htm,3,19,CB
/players/A/ArnoDa20.htm,0,118,DB
/players/A/ArnoJa00.htm,1,132,WR
/players/A/ArnoJi20.htm,22,119,P
/players/A/ArnoSt99.htm,1,118,LB
/players/A/AromDe00.htm,10,233,WR
/players/A/ArriAd00.htm,1,237,WR
/players/A/ArriJ.00.htm,11,44,RB
/players/A/ArriLa00.htm,46,2,LB
/players/A/ArthGa00.htm,0,124,TE
/players/A/ArthMi20.htm,17,130,C
/players/A/ArtiCa00.htm,5,174,RB
/players/A/ArviHe20.htm,0,124,T
/players/A/AsamJo20.htm,23,68,G
/players/A/AsanLa99.htm,0,160,DB
/players/A/AsbuWi00.htm,11,64,RB
/players/A/AsheBo20.htm,18,27,T
/players/A/AsheJa00.htm,12,137,TE
/players/A/AshlWa20.htm,14,73,LILB
/players/A/AshmDa20.htm,12,171,T
/players/A/AshtJo00.htm,10,209,RB
/players/A/AsiaDe00.htm,0,91,TE
/players/A/AsiaIs00.htm,0,164,OG
/players/A/AskaJo00.htm,3,86,RB
/players/A/AskeMi20.htm,0,165,T
/players/A/AskeB.00.htm,4,85,FB
/players/A/AskeMa20.htm,0,114,DT
/players/A/AsomNn20.htm,71,31,DB
/players/A/AspeMa00.htm,0,178,G
/players/A/AtemMa00.htm,2,228,WR
/players/A/AtesBi20.htm,2,52,DE
/players/A/AtkiBa99.htm,2,120,DE
/players/A/AtkiBi00.htm,33,59,DB
/players/A/AtkiBo20.htm,24,42,DB
/players/A/AtkiDo00.htm,75,11,DE
/players/A/AtkiGe20.htm,65,179,DB
/players/A/AtkiGe99.htm,88,120,DT
/players/A/AtkiKe20.htm,1,212,LB
/players/A/AtkiLa20.htm,4,84,LB
/players/A/AtkiPe00.htm,7,30,FL
/players/A/AtkiSt00.htm,3,44,RB
/players/A/AtkiAl00.htm,48,84,LB
/players/A/AtkiFr20.htm,5,108,DT
/players/A/AtkiBu00.htm,72,190,DB
/players/A/AtogO.20.htm,37,66,DB
/players/A/AttaJe00.htm,16,50,OLB
/players/A/AtwaSt00.htm,96,20,DB
/players/A/AudiDa20.htm,13,106,T
/players/A/AuerJo00.htm,12,57,RB
/players/A/AuerSc20.htm,3,229,G
/players/A/AuguSt20.htm,52,14,T
/players/A/AusbDa00.htm,1,241,WR
