url,approximate_value,number_drafted,position
/players/A/AlexSt20.htm,0,-1,G
/players/A/AlexAd00.htm,0,-1,null
/players/A/AlexAl00.htm,0,-1,RB
/players/A/AlexBr20.htm,63,-1,DB
/players/A/AlexBr21.htm,0,-1,DB
/players/A/AlexCh00.htm,27,-1,RB
/players/A/AlexD.00.htm,7,-1,OLB
/players/A/AlexDa20.htm,79,-1,G
/players/A/AlexDa21.htm,0,-1,RB
/players/A/AlexDa00.htm,9,-1,WR
/players/A/AlexDa22.htm,55,-1,C
/players/A/AlexDe00.htm,56,-1,WR
/players/A/AlexDe20.htm,26,-1,DE
/players/A/AlexDo20.htm,-1,-1,C
/players/A/AlexDo01.htm,1,-1,LB
/players/A/AlexEl20.htm,30,-1,LB
/players/A/AlexEr20.htm,3,-1,LB
/players/A/AlexFr00.htm,6,-1,DE
/players/A/AlexGe99.htm,10,61,DB
/players/A/AlexGl00.htm,0,-1,WR
/players/A/AlexHa20.htm,4,-1,P
/players/A/AlexJa00.htm,25,-1,CB
/players/A/AlexJe00.htm,2,-1,RB
/players/A/AlexJo20.htm,-1,-1,T
/players/A/AlexJo21.htm,3,-1,DE
/players/A/AlexKe01.htm,67,-1,DB
/players/A/AlexKe00.htm,4,-1,WR
/players/A/AlexKe02.htm,0,-1,LB
/players/A/AlexKw00.htm,32,-1,OLB
/players/A/AlexLo99.htm,40,-1,DT
/players/A/AlexMa01.htm,11,54,CB
/players/A/AlexMa00.htm,13,-1,SS
/players/A/AlexMi00.htm,3,-1,WR
/players/A/AlexMi01.htm,1,-1,LB
/players/A/AlexP.20.htm,3,-1,G
/players/A/AlexPa20.htm,2,-1,LB
/players/A/AlexRa00.htm,7,-1,WR
/players/A/AlexRo20.htm,0,-1,RB
/players/A/AlexRo21.htm,2,-1,DB
/players/A/AlexRo22.htm,1,-1,LB
/players/A/AlexRu20.htm,0,-1,LB
/players/A/AlexSh00.htm,70,-1,RB
/players/A/AlexSt00.htm,21,48,TE
/players/A/AlexVa00.htm,5,-1,OG
/players/A/AlexVi20.htm,1,-1,RB
/players/A/AlexWi20.htm,48,-1,DB
/players/A/AlexAl20.htm,0,-1,WR
/players/A/AlexRi00.htm,0,-1,RB
/players/A/AlflTe20.htm,0,-1,RB
/players/A/AlfoJu20.htm,-1,20,WB
/players/A/AlfoBr00.htm,0,-1,WR
/players/A/AlfoBr01.htm,-1,-1,E
/players/A/AlfoBr20.htm,5,-1,K
/players/A/AlfoDa20.htm,0,-1,G
/players/A/AlfoDo00.htm,0,-1,OL
/players/A/AlfoGe20.htm,-1,-1,WB
/players/A/AlfoJa99.htm,4,-1,DT
/players/A/AlfoLy20.htm,0,-1,LB
/players/A/AlfoMa00.htm,0,-1,WR
/players/A/AlfoMi20.htm,0,-1,C
/players/A/AlfoRo00.htm,31,60,CB
/players/A/AlfsWa20.htm,-1,-1,G
/players/A/AlixCh00.htm,0,-1,RB
/players/A/AlieMo00.htm,5,-1,TE
/players/A/AlipTu20.htm,2,-1,LB
/players/A/AllaDo20.htm,0,-1,QB
/players/A/allegrau01.htm,20,-1,K
/players/A/AlleNi00.htm,6,-1,G
/players/A/AlleAn20.htm,4,-1,G
/players/A/AlleAn00.htm,6,-1,WR
/players/A/AlleAn01.htm,1,-1,RB
/players/A/AlleAn02.htm,10,-1,SS
/players/A/AlleAr00.htm,1,-1,RB
/players/A/AlleAs99.htm,10,-1,DB
/players/A/AlleBe00.htm,13,-1,DT
/players/A/AlleBr00.htm,4,-1,QB
/players/A/AlleBr21.htm,8,-1,MLB
/players/A/AlleBr20.htm,0,-1,RB
/players/A/AlleBr01.htm,0,-1,CB
/players/A/AlleBr02.htm,5,-1,C
/players/A/AlleBu00.htm,0,-1,HB
/players/A/AlleCa20.htm,-1,-1,RB
/players/A/AlleCa21.htm,33,-1,DB
/players/A/AlleCh02.htm,3,-1,LB
/players/A/AlleCh00.htm,62,-1,LB
/players/A/AlleCo00.htm,9,-1,DB
/players/A/AlleDa01.htm,1,-1,LB
/players/A/AlleDa20.htm,39,-1,DE
/players/A/AlleDa00.htm,1,-1,RB
/players/A/AlleDe00.htm,0,-1,OLB
/players/A/AlleDe20.htm,0,-1,G
/players/A/AlleDo01.htm,0,-1,FB
/players/A/AlleDo20.htm,8,27,LB
/players/A/AlleDu00.htm,2,-1,TE
