url,approximate_value,number_drafted,position,year_drafted
/players/A/AndeFl00.htm,43,46,WR,1988
/players/A/andergar02.htm,51,171,K,1982
/players/A/AndeGa00.htm,42,20,RB,1983
/players/A/AndeHe00.htm,20,93,DE,2015
/players/A/AndeJa98.htm,20,8,DE,2007
/players/A/AndeJa00.htm,49,201,RB,1994
/players/A/AndeJa21.htm,31,88,MLB,2006
/players/A/AndeJe20.htm,0,105,DB,1977
/players/A/AndeJe00.htm,2,87,TE,1990
/players/A/AndeJo20.htm,63,26,LB,1978
/players/A/AndeJu00.htm,0,208,T,2012
/players/A/AndeKe00.htm,121,67,QB,1971
/players/A/AndeKi20.htm,6,69,DB,1979
/players/A/AndeLa20.htm,9,101,DB,1978
/players/A/AndeMa21.htm,21,159,DE,2006
/players/A/AndeMa22.htm,13,92,DB,2002
/players/A/AndeMa00.htm,6,132,RB,1968
/players/A/AndeMi00.htm,36,189,RB,2000
/players/A/AndeNe00.htm,60,27,RB,1986
/players/A/AndeOt00.htm,80,8,RB,1979
/players/A/AndeRa00.htm,7,101,E,1958
/players/A/AndeRa20.htm,18,126,DB,1971
/players/A/AndeRa21.htm,7,23,DB,2000
/players/A/AndeRi00.htm,29,144,FB,1993
/players/A/AndeRi20.htm,0,71,RB,1978
/players/A/AndeRo20.htm,10,96,DT,1964
/players/A/AndeRy00.htm,6,49,OLB,2017
/players/A/AndeSc20.htm,0,77,C,1974
/players/A/AndeSc00.htm,8,148,WR,2001
/players/A/AndeSt00.htm,2,215,WR,1993
/players/A/AndeSt21.htm,2,104,LB,1982
/players/A/AndeTa00.htm,12,80,TE,1960
/players/A/AndeTi20.htm,7,74,DT,2004
/players/A/AndeWa20.htm,0,98,WR,1977
/players/A/AndeWi21.htm,0,23,DB,1971
/players/A/AndeWi00.htm,101,10,T,1996
/players/A/AndoEr20.htm,23,111,G,1988
/players/A/AndrGe20.htm,31,19,LB,1979
/players/A/AndrJo00.htm,0,130,TE,1971
/players/A/AndrJo20.htm,7,175,DE,1973
/players/A/AndrMa00.htm,23,86,TE,2018
/players/A/AndrSh55.htm,34,16,G,2004
/players/A/AndrSt21.htm,21,123,T,2004
/players/A/AndrTo20.htm,0,98,T,1984
/players/A/AndrWi00.htm,68,79,RB,1979
/players/A/AndrWi20.htm,3,229,DB,2006
/players/A/AndrGe00.htm,73,82,DE,1962
/players/A/AndrZe20.htm,3,231,P,1970
/players/A/AnelMa20.htm,0,201,TE,2002
/players/A/AngeBr00.htm,18,70,P,2012
/players/A/AngePa99.htm,18,63,LB,2010
/players/A/AnguRi00.htm,2,254,TE,2003
/players/A/AnsaEz00.htm,38,5,DE,2013
/players/A/AnthRe00.htm,21,16,WR,1997
/players/A/AnthSt00.htm,10,31,ILB,2015
/players/A/AnthTe20.htm,0,236,DB,1987
/players/A/AnthTy00.htm,4,69,RB,1984
/players/A/AntoLi20.htm,17,3,T,1972
/players/A/AntwHo00.htm,69,63,DT,1961
/players/A/AnzaAl00.htm,11,76,OLB,2017
/players/A/ApkeTr00.htm,4,109,S,2018
/players/A/ApplEl00.htm,21,10,CB,2016
/players/A/ApplSc20.htm,23,6,DT,1964
/players/A/ApunBe20.htm,2,171,LB,1980
/players/A/ArbaFr00.htm,33,22,TE,1961
/players/A/ArbuHa20.htm,2,238,DE,1983
/players/A/ArbuCh00.htm,2,125,TE,1990
/players/A/ArceJJ00.htm,2,57,WR,2019
/players/A/ArchLe20.htm,36,186,DE,1990
/players/A/ArchDr00.htm,0,97,WR,2014
/players/A/ArchTr20.htm,16,13,DT,1976
/players/A/ArchMi00.htm,0,218,RB,1996
