,position,year_drafted,counts,av_mean,draft_mean
193,DE,2002,22,32.77272727272727,119.72727272727273
194,DE,2003,23,23.0,109.04347826086956
195,DE,2004,16,30.0,100.5625
196,DE,2005,20,22.7,139.9
197,DE,2006,22,30.954545454545453,118.72727272727273
198,DE,2007,17,16.294117647058822,86.23529411764706
199,DE,2008,19,17.894736842105264,101.57894736842105
200,DE,2009,17,16.88235294117647,87.47058823529412
201,DE,2010,22,23.181818181818183,130.86363636363637
202,DE,2011,6,47.0,55.166666666666664
203,DE,2012,22,21.545454545454547,105.27272727272727
204,DE,2013,28,9.142857142857142,134.75
205,DE,2014,24,11.0,133.33333333333334
206,DE,2015,17,18.0,103.94117647058823
207,DE,2016,18,13.222222222222221,93.22222222222223
208,DE,2017,21,9.428571428571429,104.47619047619048
209,DE,2018,21,5.428571428571429,124.66666666666667
210,DE,2019,4,3.25,168.75
211,DE,2020,1,2.0,177.0
212,DL,2011,23,14.695652173913043,119.82608695652173
213,DL,2017,1,0.0,181.0
214,DL,2019,23,5.6521739130434785,105.56521739130434
215,DL,2020,35,2.2285714285714286,119.0
216,DT,1947,1,17.0,50.0
217,DT,1950,3,23.0,23.333333333333332
218,DT,1951,4,24.75,19.75
219,DT,1952,5,22.0,47.4
220,DT,1953,3,39.0,69.66666666666667
221,DT,1954,3,15.0,73.66666666666667
222,DT,1955,2,32.0,66.0
223,DT,1956,2,22.5,21.5
224,DT,1957,8,37.625,44.0
225,DT,1958,7,39.714285714285715,48.57142857142857
226,DT,1959,6,17.333333333333332,53.333333333333336
227,DT,1960,6,27.5,53.833333333333336
228,DT,1961,10,39.7,56.2
229,DT,1962,12,32.833333333333336,48.166666666666664
230,DT,1963,10,30.1,53.1
231,DT,1964,8,22.75,50.625
232,DT,1965,7,20.142857142857142,42.57142857142857
233,DT,1966,12,19.416666666666668,50.666666666666664
234,DT,1967,8,44.125,89.5
235,DT,1968,12,17.5,76.58333333333333
236,DT,1969,10,27.5,82.6
237,DT,1970,14,27.5,49.57142857142857
238,DT,1971,4,19.25,121.5
239,DT,1972,12,24.583333333333332,71.66666666666667
240,DT,1973,14,25.857142857142858,88.07142857142857
241,DT,1974,15,15.933333333333334,110.33333333333333
242,DT,1975,11,38.36363636363637,66.54545454545455
243,DT,1976,13,14.923076923076923,79.53846153846153
244,DT,1977,9,18.333333333333332,57.888888888888886
245,DT,1978,10,7.1,110.2
246,DT,1979,5,11.2,109.0
247,DT,1980,4,25.75,131.75
248,DT,1981,3,21.0,146.66666666666666
249,DT,1982,1,31.0,38.0
250,DT,1983,6,16.0,91.83333333333333
251,DT,1984,2,30.0,88.0
252,DT,1985,6,34.666666666666664,85.66666666666667
253,DT,1986,2,30.0,38.0
254,DT,1987,14,24.642857142857142,120.42857142857143
255,DT,1988,7,21.285714285714285,104.28571428571429
256,DT,1989,4,14.25,113.75
257,DT,1990,9,21.666666666666668,73.55555555555556
258,DT,1991,18,26.555555555555557,87.88888888888889
259,DT,1992,13,36.15384615384615,67.3076923076923
260,DT,1993,10,24.7,105.9
261,DT,1994,16,30.3125,76.5
262,DT,1995,16,31.125,140.6875
263,DT,1996,14,20.642857142857142,134.92857142857142
264,DT,1997,16,24.25,137.625
265,DT,1998,9,10.222222222222221,145.11111111111111
266,DT,1999,18,14.0,127.05555555555556
267,DT,2000,19,21.473684210526315,121.73684210526316
268,DT,2001,23,20.956521739130434,132.56521739130434
269,DT,2002,13,21.0,103.6923076923077
270,DT,2003,21,16.428571428571427,120.9047619047619
271,DT,2004,19,19.36842105263158,114.3157894736842
272,DT,2005,15,13.733333333333333,150.06666666666666
273,DT,2006,22,19.681818181818183,145.22727272727272
274,DT,2007,19,16.105263157894736,106.15789473684211
275,DT,2008,18,13.333333333333334,111.88888888888889
276,DT,2009,19,16.736842105263158,107.89473684210526
277,DT,2010,20,30.7,90.2
278,DT,2011,10,32.4,100.8
279,DT,2012,21,20.80952380952381,118.42857142857143
280,DT,2013,18,21.166666666666668,107.77777777777777
281,DT,2014,19,16.0,114.3157894736842
282,DT,2015,19,17.05263157894737,124.63157894736842
283,DT,2016,22,18.5,78.77272727272727
284,DT,2017,20,8.85,143.1
285,DT,2018,20,8.55,109.35
286,DT,2019,1,4.0,84.0
287,DT,2020,1,4.0,184.0
288,E,1951,2,12.5,28.0
289,E,1952,2,12.0,18.0
290,E,1954,3,22.0,24.333333333333332
291,E,1955,4,6.5,13.25
292,E,1956,5,22.4,31.6
293,E,1957,7,32.714285714285715,46.857142857142854
294,E,1958,5,24.4,43.2
295,E,1959,3,9.666666666666666,30.666666666666668
296,E,1960,1,37.0,56.0
297,E,1961,3,0.6666666666666666,88.0
298,E,1962,1,0.0,34.0
299,E,1963,1,2.0,84.0
300,E,1967,1,0.0,80.0
301,E,1998,1,2.0,166.0
302,EDGE,2019,16,5.625,91.6875
303,FB,1951,1,2.0,27.0
304,FB,1953,2,23.5,11.0
305,FB,1954,1,19.0,18.0
306,FB,1955,3,6.333333333333333,28.333333333333332
307,FB,1956,2,10.5,40.5
308,FB,1957,5,34.0,31.8
309,FB,1958,5,21.8,35.2
310,FB,1959,6,15.333333333333334,44.5
311,FB,1960,5,27.0,66.2
312,FB,1961,6,9.666666666666666,54.833333333333336
313,FB,1962,7,10.142857142857142,45.285714285714285
314,FB,1963,3,1.6666666666666667,84.33333333333333
315,FB,1964,4,0.5,99.5
316,FB,1965,1,14.0,11.0
317,FB,1966,2,0.0,45.5
318,FB,1977,1,18.0,66.0
319,FB,1979,1,2.0,107.0
320,FB,1983,1,42.0,13.0
321,FB,1985,1,1.0,197.0
322,FB,1986,1,66.0,15.0
323,FB,1988,1,8.0,139.0
324,FB,1990,3,20.0,96.0
325,FB,1991,2,3.5,54.0
326,FB,1992,3,10.333333333333334,131.66666666666666
327,FB,1993,2,21.5,116.5
328,FB,1994,2,12.5,47.0
329,FB,1995,4,13.75,136.25
330,FB,1996,2,30.5,76.5
331,FB,1997,3,10.666666666666666,156.66666666666666
332,FB,1998,4,6.0,152.0
333,FB,1999,8,3.75,146.75
334,FB,2000,3,4.0,150.66666666666666
335,FB,2001,3,4.333333333333333,123.66666666666667
336,FB,2002,4,2.5,157.25
337,FB,2003,10,4.5,154.8
338,FB,2004,3,2.0,186.33333333333334
339,FB,2005,3,0.6666666666666666,210.33333333333334
340,FB,2006,3,3.6666666666666665,128.66666666666666
341,FB,2007,2,0.5,185.0
342,FB,2008,1,3.0,183.0
343,FB,2010,2,0.0,226.0
344,FB,2011,1,7.0,211.0
345,FB,2012,2,4.5,142.5
346,FB,2013,2,8.5,172.5
347,FB,2014,2,0.0,228.0
348,FB,2015,5,0.4,181.6
349,FB,2016,3,1.3333333333333333,190.33333333333334
350,FB,2017,2,0.0,216.0
351,FL,1957,1,62.0,31.0
352,FL,1958,2,69.5,71.0
353,FL,1959,1,76.0,25.0
354,FL,1960,1,7.0,30.0
355,FL,1962,4,57.5,45.75
356,FL,1963,1,37.0,89.0
357,FL,1964,3,21.0,73.66666666666667
358,FL,1967,1,3.0,72.0
359,FL,1968,3,3.6666666666666665,117.66666666666667
360,FS,2011,2,13.0,89.5
361,FS,2012,7,16.857142857142858,122.71428571428571
362,FS,2013,10,20.4,117.1
363,FS,2014,11,9.818181818181818,146.45454545454547
364,FS,2015,4,16.5,154.25
365,FS,2016,9,11.777777777777779,118.55555555555556
366,FS,2017,8,16.5,102.75
367,FS,2018,5,17.6,84.2
368,G,1950,2,9.5,57.0
369,G,1951,1,39.0,61.0
370,G,1952,1,8.0,66.0
371,G,1953,2,29.0,34.0
372,G,1954,2,35.5,85.5
373,G,1955,2,10.5,21.0
374,G,1956,5,16.2,56.2
375,G,1957,6,47.5,54.833333333333336
376,G,1958,6,35.5,58.666666666666664
377,G,1959,7,20.857142857142858,58.142857142857146
378,G,1960,7,25.571428571428573,29.857142857142858
379,G,1961,5,24.2,54.8
380,G,1962,13,28.76923076923077,64.38461538461539
381,G,1963,9,39.55555555555556,69.44444444444444
382,G,1964,7,30.285714285714285,71.14285714285714
383,G,1965,6,25.0,73.0
384,G,1966,8,49.75,28.125
385,G,1967,11,25.636363636363637,108.63636363636364
386,G,1968,14,19.142857142857142,108.28571428571429
387,G,1969,13,30.307692307692307,91.0
388,G,1970,10,27.0,96.4
389,G,1971,12,20.25,105.58333333333333
390,G,1972,11,21.363636363636363,112.63636363636364
391,G,1973,10,40.9,74.0
392,G,1974,10,24.6,72.2
393,G,1975,11,18.727272727272727,71.27272727272727
394,G,1976,19,25.42105263157895,89.63157894736842
395,G,1977,13,30.46153846153846,93.38461538461539
396,G,1978,9,15.333333333333334,115.44444444444444
397,G,1979,14,23.214285714285715,88.85714285714286
398,G,1980,12,25.166666666666668,95.0
399,G,1981,17,27.352941176470587,112.23529411764706
400,G,1982,13,31.76923076923077,95.76923076923077
401,G,1983,8,35.875,132.875
402,G,1984,13,29.384615384615383,137.84615384615384
403,G,1985,12,20.833333333333332,102.33333333333333
404,G,1986,12,29.0,88.25
405,G,1987,11,14.909090909090908,114.72727272727273
406,G,1988,12,36.833333333333336,106.83333333333333
407,G,1989,13,20.307692307692307,107.15384615384616
408,G,1990,17,28.235294117647058,134.05882352941177
409,G,1991,12,16.583333333333332,94.58333333333333
410,G,1992,9,18.22222222222222,167.66666666666666
411,G,1993,18,34.666666666666664,105.88888888888889
412,G,1994,10,31.3,88.1
413,G,1995,14,26.928571428571427,110.14285714285714
414,G,1996,13,22.46153846153846,141.6153846153846
415,G,1997,15,19.266666666666666,109.6
416,G,1998,11,30.09090909090909,122.27272727272727
417,G,1999,18,17.11111111111111,121.05555555555556
418,G,2000,10,22.2,115.9
419,G,2001,10,29.4,147.2
420,G,2002,12,27.416666666666668,123.41666666666667
421,G,2003,17,20.0,150.0
422,G,2004,12,31.333333333333332,136.08333333333334
423,G,2005,16,24.625,130.875
424,G,2006,18,29.444444444444443,141.72222222222223
425,G,2007,11,29.545454545454547,119.27272727272727
426,G,2008,11,28.363636363636363,137.54545454545453
427,G,2009,12,20.916666666666668,149.83333333333334
428,G,2010,14,19.642857142857142,118.14285714285714
429,G,2011,3,13.333333333333334,104.66666666666667
430,G,2012,13,22.23076923076923,126.76923076923077
431,G,2013,3,0.0,180.66666666666666
432,G,2014,2,65.5,25.5
433,G,2015,2,46.0,68.0
434,G,2018,1,0.0,213.0
435,G,2019,2,5.5,173.5
436,HB,1950,1,4.0,13.0
437,HB,1951,1,0.0,81.0
438,HB,1952,3,24.0,22.666666666666668
439,HB,1953,3,4.0,42.666666666666664
440,HB,1954,1,2.0,56.0
441,HB,1955,2,3.0,21.0
442,HB,1956,8,19.5,32.5
443,HB,1957,8,17.875,21.75
444,HB,1958,7,20.571428571428573,34.42857142857143
445,HB,1959,6,21.5,45.0
446,HB,1960,13,15.846153846153847,49.46153846153846
447,HB,1961,6,11.666666666666666,47.333333333333336
448,HB,1962,5,5.2,60.8
449,HB,1963,3,8.666666666666666,53.666666666666664
450,HB,1964,5,4.4,70.8
451,HB,1965,5,0.6,69.8
452,HB,1966,1,0.0,129.0
453,ILB,2012,10,32.7,112.0
454,ILB,2013,9,16.88888888888889,143.77777777777777
455,ILB,2014,10,18.7,139.6
456,ILB,2015,11,17.636363636363637,124.63636363636364
457,ILB,2016,11,13.636363636363637,164.36363636363637
458,ILB,2017,10,10.1,119.2
459,ILB,2018,10,12.2,118.3
460,K,1961,2,23.5,109.5
461,K,1962,1,51.0,88.0
462,K,1966,1,12.0,56.0
463,K,1967,3,19.666666666666668,115.66666666666667
464,K,1968,2,4.0,60.0
465,K,1969,2,13.5,112.0
466,K,1970,2,8.0,115.5
467,K,1972,3,9.0,72.33333333333333
468,K,1974,2,12.0,179.0
469,K,1975,1,5.0,72.0
470,K,1976,3,12.333333333333334,96.33333333333333
471,K,1977,3,4.666666666666667,151.66666666666666
472,K,1978,4,12.75,125.75
473,K,1979,3,24.0,142.66666666666666
474,K,1980,1,44.0,166.0
475,K,1981,2,1.5,162.0
476,K,1982,2,51.0,128.5
477,K,1983,2,7.0,162.0
478,K,1985,2,25.0,150.0
479,K,1986,2,2.5,66.0
480,K,1987,3,15.666666666666666,172.33333333333334
481,K,1988,2,9.5,77.5
482,K,1989,2,28.5,172.5
483,K,1991,1,41.0,98.0
484,K,1992,1,48.0,56.0
485,K,1993,4,22.0,140.5
486,K,1994,1,28.0,85.0
487,K,1995,1,4.0,247.0
488,K,1997,1,7.0,90.0
489,K,1999,3,14.666666666666666,163.0
490,K,2000,3,29.0,120.0
491,K,2001,1,7.0,98.0
492,K,2002,2,0.5,174.5
493,K,2003,1,34.0,222.0
494,K,2004,2,23.5,101.0
495,K,2005,3,9.0,162.66666666666666
496,K,2006,1,37.0,118.0
497,K,2007,3,19.333333333333332,177.0
498,K,2008,2,0.0,206.5
499,K,2009,2,14.5,214.0
500,K,2011,1,8.0,120.0
501,K,2012,4,13.0,189.5
502,K,2013,2,12.0,171.5
503,K,2014,1,0.0,228.0
504,K,2016,1,0.0,59.0
505,K,2017,3,11.333333333333334,203.33333333333334
506,K,2018,2,10.0,198.0
507,K,2019,2,3.5,157.5
508,K,2020,2,1.5,218.0
509,LB,1949,1,29.0,1.0
510,LB,1950,1,5.0,76.0
511,LB,1951,2,39.0,54.5
512,LB,1952,3,32.666666666666664,35.666666666666664
513,LB,1953,3,43.333333333333336,48.666666666666664
514,LB,1954,1,17.0,39.0
515,LB,1955,7,27.0,36.57142857142857
516,LB,1956,4,36.5,37.0
517,LB,1957,6,36.333333333333336,52.0
518,LB,1958,8,50.625,51.75
519,LB,1959,3,36.333333333333336,46.333333333333336
520,LB,1960,5,36.4,59.0
521,LB,1961,6,46.666666666666664,31.0
522,LB,1962,7,22.857142857142858,42.142857142857146
523,LB,1963,8,58.5,57.125
524,LB,1964,5,59.4,41.6
525,LB,1965,10,29.8,61.9
526,LB,1966,8,26.125,67.875
527,LB,1967,17,29.529411764705884,86.47058823529412
528,LB,1968,18,21.88888888888889,101.88888888888889
529,LB,1969,15,27.666666666666668,119.6
530,LB,1970,16,28.9375,99.625
531,LB,1971,12,35.666666666666664,95.0
532,LB,1972,14,22.071428571428573,91.64285714285714
533,LB,1973,20,27.15,114.95
534,LB,1974,16,36.125,85.5625
535,LB,1975,19,27.842105263157894,95.15789473684211
536,LB,1976,19,30.842105263157894,96.84210526315789
537,LB,1977,18,24.5,102.61111111111111
538,LB,1978,24,20.5,120.0
539,LB,1979,29,17.96551724137931,121.24137931034483
540,LB,1980,19,25.68421052631579,99.52631578947368
541,LB,1981,16,39.75,98.0625
542,LB,1982,25,21.44,111.04
543,LB,1983,22,21.136363636363637,103.0909090909091
544,LB,1984,26,21.653846153846153,114.11538461538461
545,LB,1985,27,16.296296296296298,121.55555555555556
546,LB,1986,25,20.92,126.12
547,LB,1987,27,24.88888888888889,134.66666666666666
548,LB,1988,19,29.42105263157895,123.78947368421052
549,LB,1989,17,16.764705882352942,109.52941176470588
550,LB,1990,18,25.166666666666668,107.83333333333333
551,LB,1991,15,29.6,101.93333333333334
552,LB,1992,20,19.65,118.35
553,LB,1993,29,21.82758620689655,112.41379310344827
554,LB,1994,16,24.8125,123.125
555,LB,1995,23,15.956521739130435,129.08695652173913
556,LB,1996,21,36.42857142857143,115.80952380952381
557,LB,1997,28,21.571428571428573,114.82142857142857
558,LB,1998,23,23.347826086956523,115.82608695652173
559,LB,1999,20,23.85,134.55
560,LB,2000,20,38.3,106.8
561,LB,2001,15,12.133333333333333,121.46666666666667
562,LB,2002,18,24.38888888888889,131.5
563,LB,2003,25,25.36,116.08
564,LB,2004,22,17.772727272727273,118.36363636363636
565,LB,2005,22,22.954545454545453,91.54545454545455
566,LB,2006,21,20.333333333333332,111.85714285714286
567,LB,2007,22,20.0,128.45454545454547
568,LB,2008,19,12.736842105263158,125.3157894736842
569,LB,2009,22,13.227272727272727,114.5909090909091
570,LB,2010,32,9.8125,137.1875
571,LB,2011,9,3.0,179.44444444444446
572,LB,2012,2,26.5,81.0
573,LB,2016,1,1.0,239.0
574,LB,2018,12,8.25,180.25
575,LB,2019,23,6.304347826086956,140.34782608695653
576,LB,2020,30,2.3,128.23333333333332
577,LG,2011,2,48.0,36.5
578,LILB,1973,1,48.0,192.0
579,LILB,1975,1,31.0,29.0
580,LILB,1976,2,10.0,209.0
581,LILB,1977,1,15.0,17.0
582,LILB,1980,2,13.5,129.0
583,LILB,1981,2,26.0,176.5
584,LILB,1983,2,10.5,83.5
585,LILB,1984,5,19.6,108.2
586,LILB,1986,1,6.0,217.0
587,LILB,1988,1,15.0,152.0
588,LILB,1989,2,14.5,91.5
589,LILB,1990,2,13.5,85.5
590,LILB,1993,1,17.0,218.0
591,LILB,1994,1,11.0,81.0
592,LILB,1996,1,7.0,178.0
593,LILB,1997,1,6.0,166.0
594,LILB,1999,3,22.666666666666668,122.66666666666667
595,LILB,2004,1,34.0,101.0
596,LILB,2007,1,12.0,240.0
597,LILB,2010,1,6.0,166.0
598,LILB,2012,1,12.0,86.0
599,LILB,2013,1,32.0,50.0
600,LLB,1957,1,6.0,64.0
601,LLB,1958,1,14.0,68.0
602,LLB,1959,2,34.5,20.0
603,LLB,1960,2,15.0,80.5
604,LLB,1963,2,22.5,47.0
605,LLB,1964,3,24.0,65.66666666666667
606,LLB,1967,1,32.0,126.0
607,LLB,1968,3,15.0,71.66666666666667
608,LLB,1972,1,7.0,119.0
609,LLB,1973,2,45.0,89.0
610,LLB,1974,1,9.0,58.0
611,LLB,1975,3,21.0,127.66666666666667
612,LLB,1976,3,21.333333333333332,157.66666666666666
613,LLB,1977,2,20.5,162.0
614,LLB,1983,1,8.0,211.0
615,LLB,1984,1,32.0,44.0
616,LLB,1986,1,13.0,113.0
617,LLB,1987,3,15.0,69.66666666666667
618,LLB,1988,1,13.0,77.0
619,LLB,1989,2,10.0,118.5
620,LLB,1990,4,24.5,73.5
621,LLB,1991,1,10.0,53.0
622,LLB,1992,3,27.666666666666668,98.0
623,LLB,1993,3,16.333333333333332,57.333333333333336
624,LLB,1994,1,8.0,52.0
625,LLB,1996,1,10.0,50.0
626,LLB,1997,2,22.0,54.0
627,LOLB,1971,1,17.0,40.0
628,LOLB,1974,1,28.0,111.0
629,LOLB,1975,1,11.0,214.0
630,LOLB,1976,1,12.0,245.0
